date,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var125,var126,var127,var128,var129,var130,var131,var132,var133,var134,var135,var136,var137,var138
2008-01-01,72.25110998,34.17218543,86.96273778,64.4733679,25.53245223,237.0453274,75.84603175,141.5271967,73.79026977,66557,8772,57785,18774,6066,12708,47783,2706,45077,80.33099759,11349275,93,80,69,15883,4542,5063,2145,1075,3058,8702036,2450110,2334584,1557288,1067962,1292092,11902,3454,3531,1814,653,2450,5956904,1548098,1751750,1279504,551606,825946,108.0278961,123.6752711,88.06190455,106.949859,1657122,372082,157504,1127536,66.47581815,64.9984329,61.14010794,105424,97471,137756,74.82,74.87,75.18,73.25,76.1,74.59,74.69,78.19,76.05,81.08,79.06,105.09,81.19,79.17,105.09,95.09221632,100.4752852,3042,3171,51.47,128.93,125.96,132.99,127.04,67.3,81.73,97.02,71.26,76.19,75.41,77.77,159.87,4647.41,3356.25,1097.94,983.44,1492.12,1436,608.84,135.03,1624.68,296.5,53.52177778,193.9425747,1505.3,17737.6,86.54831659,942.39,65,71.5,68.9,174.5803357,169.2840647,182.8715365,7.28,7.33,7.26,61.40739449,1286.034,84.08414867,80.97040762,219723.4,331402,62.08,55.577
2008-02-01,75.7455031,74.0436307,76.40260053,78.97936055,59.18848388,166.7039731,74.24920635,258.6297071,68.47826087,69776,19007,50768,22998,14062,8937,46777,4945,41832,80.33099759,11349275,95,77,69,13907,4366,4231,1634,888,2788,7143363,1564646,2280282,1258307,1157875,882253,9668,3209,2727,1327,428,1977,3998079,748497,1503441,817391,353376,575374,108.0278961,123.6752711,88.06190455,106.949859,1657122,372082,157504,1127536,66.47581815,64.9984329,61.14010794,105424,97471,137756,76.07,76.25,76.43,73.98,77.47,75.91,76.13,79.46,77.48,84.44,82.42,108.17,84.56,82.53,108.17,84.5264145,85.64638783,2704,2703,51.47,129.37,126.06,132.99,126.95,67.68,81.73,97.02,75.33,76.36,75.47,78.31,136.72,4868.12,3479.13,1141.41,947.45,1676.15,1759.81,655.94,144.36,1711.62,355.16,53.52177778,193.9425747,1505.3,17737.6,86.75954668,944.69,64.8,71.7,69.1,174.5803357,169.2840647,182.8715365,7.28,7.33,7.26,62.64390426,1311.9298,84.08414867,80.97040762,219723.4,331402,62.271,55.732
2008-03-01,107.7009086,121.153097,102.5057188,137.6420894,91.12299015,343.8164522,93.86190476,494.2991632,81.32857517,99213,31100,68113,40080,21649,18432,59133,9451,49682,80.33099759,11349275,95,80,51,19520,6867,6121,2047,1058,3427,8076020,2308361,1986716,1729318,855533,1196092,16651,6056,4675,2165,610,3145,6615913,1240043,1948182,1569247,789809,1068632,108.0278961,123.6752711,88.06190455,106.949859,1657122,372082,157504,1127536,66.47581815,64.9984329,61.14010794,105424,97471,137756,77.46,77.62,77.86,75.21,78.69,77.25,77.3,80.55,78.87,87.96,85.47,117.91,88.16,85.66,117.91,136.6989684,147.7820025,4373,4664,51.47,133.6,126.6,139.56,124.26,67.68,81.73,97.02,76.3,78.03,77.33,79.25,150.42,4904,3515.86,1253.57,929.35,1514.44,1663.95,644.45,137.99,1703.99,341.74,53.52177778,193.9425747,1505.3,17737.6,89.98953033,979.86,64.8,71.9,69.4,172.6618705,168.1293303,180.1007557,7.2,7.28,7.15,63.44711657,1328.7512,84.08414867,80.97040762,219723.4,331402,62.746,56.091
2008-04-01,102.3968997,72.68017141,113.8785216,85.57299358,41.29135449,281.8130946,110.1730159,462.709205,99.13731011,94327,18657,75670,24918,9810,15108,69409,8847,60561,80.33099759,11349275,100,82,59,24270,8821,7697,2389,1236,4127,14136881,4426592,4934926,1821856,1189711,1763796,19351,7537,5284,2251,719,3560,7093177,1569782,2119799,1849016,571533,983047,108.0278961,123.6752711,88.06190455,106.949859,1657122,372082,157504,1127536,66.47581815,64.9984329,61.14010794,105424,97471,137756,79.63,80.02,80.01,76.69,81.08,79.84,79.61,82.65,81.59,92.67,90.34,120.1,92.88,90.53,120.1,149.5154736,164.8288973,4783,5202,59.17,141.35,128.31,147.2,121.82,71.49,81.73,97.02,76.3,80.94,80.67,80.59,149.65,5243.57,3798.24,1326.1,1089.33,1665.51,1591.11,647.02,133.12,1825.47,337.57,56.17422222,195.5509633,1579.9,17884.7,90.6140367,986.66,64.8,71.8,69.6,170.9832134,167.2055427,177.3299748,7.13,7.24,7.04,64.19444772,1344.4023,84.19941243,81.39426584,220024.6,333136.8,63.294,56.415
2008-05-01,123.6368176,155.2824309,111.4134361,142.1408702,118.3390858,247.6217124,115.084127,614.3828452,99.45815872,113893,39861,74032,41390,28115,13275,72503,11747,60757,80.33099759,11349275,102,79,53,21875,7502,7058,2206,1165,3944,11019299,2764751,4172483,1642460,1111976,1327629,18900,6908,5620,2188,806,3378,8349251,1548865,3372606,1588447,893370,945963,108.0278961,123.6752711,88.06190455,106.949859,1657122,372082,157504,1127536,66.47581815,64.9984329,61.14010794,105424,97471,137756,81.6,81.88,82.09,78.45,83.19,81.85,82.04,84.36,84.03,96.85,94.19,128.26,97,94.39,128.26,160.6439512,167.5855513,5139,5289,59.17,155.7,137.52,162.28,126.93,73.37,81.73,97.02,76.64,81.36,80.67,82.49,181.77,5289.3,3827.23,1403.41,1017.7,1789.9,1585.94,652.15,129.65,1852.02,332,56.17422222,195.5509633,1579.9,17884.7,95.212424,1036.73,64.9,71.8,69.8,171.2230216,167.8983834,177.3299748,7.14,7.27,7.04,64.9187159,1359.5704,84.19941243,81.39426584,220024.6,333136.8,63.679,56.576
2008-06-01,116.6578013,124.234515,113.7340477,90.23661527,58.53607206,230.7218802,128.8698413,940.5857741,103.4638554,107464,31891,75574,26276,13907,12369,81188,17984,63204,80.33099759,11349275,89,72,55,20255,6795,6326,2097,1156,3881,9209578,2328210,2721546,1487551,1114361,1557910,16340,5962,4453,2001,706,3218,6383874,1328226,2049074,1491930,617470,897174,108.0278961,123.6752711,88.06190455,106.949859,1657122,372082,157504,1127536,66.47581815,64.9984329,61.14010794,105424,97471,137756,83.22,83.27,83.89,80.03,84.91,83.78,83.76,85.8,85.78,99.85,97.4,129.35,100.07,97.6,129.35,140.1688028,146.5779468,4484,4626,59.17,169.09,144.7,170.49,139.29,73.37,81.73,97.02,76.1,81.58,80.72,83.33,182.58,4835.71,3453.81,1154.95,942.63,1758.82,1326.29,590.19,112.44,1674.92,291.8,56.17422222,195.5509633,1579.9,17884.7,94.52730379,1029.27,64.8,71.6,70.1,172.4220624,169.0531178,178.0856423,7.19,7.32,7.07,65.40274235,1369.7072,84.19941243,81.39426584,220024.6,333136.8,64.064,56.758
2008-07-01,72.57569014,92.27892481,64.96508548,73.91393935,51.67522519,172.4678232,71.95714286,596.8096234,55.52972761,66856,23688,43168,21523,12277,9246,45333,11411,33922,80.33099759,11349275,90,71,50,21893,7556,7055,2089,1324,3869,11038003,3706873,2550547,1855881,1044434,1880268,16650,6156,4602,1960,778,3154,7058185,1320807,2268446,1724795,788445,955692,108.0278961,123.6752711,88.06190455,106.949859,1657122,372082,157504,1127536,68.93877294,67.7005048,63.93623065,109330,101523,144056,85.5,84.85,86.47,83.23,86.91,85.6,85.83,87.93,87.64,104.49,102.19,131.44,104.71,102.41,131.44,135.4485777,140.4942966,4333,4434,59.17,173.66,147.38,173.29,145.68,71.9,80.58,99.06,76.01,81.24,80.29,83.33,202.51,4631.97,3294.16,996.43,894.93,1734.45,1233.38,539.44,111.07,1594.67,257.43,57.40444444,207.1672243,1614.5,18947.1,93.5951362,1019.12,64.8,71.6,70.3,173.6211031,170.4387991,178.8413098,7.24,7.38,7.1,65.72528978,1376.4622,84.43200644,82.05834623,220632.4,335854.8,64.314,56.882
2008-08-01,82.74514487,145.9057265,58.34788105,86.19801504,64.08788619,184.2007088,81.14920635,1162.552301,47.30225249,76224,37454,38771,25100,15226,9875,51124,22228,28896,80.33099759,11349275,86,71,48,17109,5850,5322,1737,1161,3039,8321090,2765946,2335471,1346839,785550,1087284,13625,5106,3599,1538,764,2618,5096426,1134701,1528232,1237350,515731,680412,108.0278961,123.6752711,88.06190455,106.949859,1657122,372082,157504,1127536,68.93877294,67.7005048,63.93623065,109330,101523,144056,85.67,84.93,86.7,83.39,86.86,85.36,85.57,88.38,87.41,104.79,102.41,133.03,105.09,102.63,133.03,132.4163801,139.5120406,4236,4403,59.17,163.44,134.2,153.87,145.73,71.9,82.87,99.06,75.72,81.4,79.91,85.42,198.37,4279.48,3061.25,887.45,915.17,1417.84,1009.14,470.28,93.81,1474.24,213.19,57.40444444,207.1672243,1614.5,18947.1,95.65417042,1041.54,64.8,71.7,70.5,176.498801,172.9792148,181.8639798,7.36,7.49,7.22,66.0999366,1384.3083,84.43200644,82.05834623,220632.4,335854.8,64.442,56.973
2008-09-01,73.48538304,94.30463576,65.44516013,86.82647069,68.40643152,168.4573774,67.31904762,416.0564854,56.40387638,67694,24208,43487,25283,16252,9031,42411,7955,34456,80.33099759,11349275,76,72,53,18340,6108,5773,1886,1247,3326,8155627,2274792,2464970,1412089,851834,1151942,14723,5450,4106,1556,783,2828,5507268,1132277,2059606,1071728,597593,646064,108.0278961,123.6752711,88.06190455,106.949859,1657122,372082,157504,1127536,68.93877294,67.7005048,63.93623065,109330,101523,144056,87.19,86.34,88.27,85.05,88.61,87.37,87.4,89.81,88.78,106.35,103.21,144.66,106.58,103.43,144.66,133.2603939,135.6147022,4263,4280,59.17,158.03,136.56,152.42,140.48,74.07,82.87,101.29,75.48,81.4,79.91,85.42,171.58,4371.04,3015.65,891.65,765.74,1358.04,1094.71,440.77,98.75,1448.06,228.41,57.40444444,207.1672243,1614.5,18947.1,103.8149992,1130.4,64.9,71.8,70.7,180.0959233,176.9053118,185.3904282,7.51,7.66,7.36,66.58338051,1394.4329,84.43200644,82.05834623,220632.4,335854.8,64.591,57.184
2008-10-01,105.5395738,166.7432801,81.89561763,114.1728768,63.91110363,336.9147547,101.5492063,1444.508368,59.51578051,97222,42803,54418,33246,15184,18062,63976,27619,36357,80.33099759,11349275,73,64,37,19850,6633,6106,1943,1214,3954,10732521,2587747,2652180,1819539,2343123,1329932,16480,5927,4447,1767,905,3434,5692660,1238028,1656766,1323752,631271,842843,108.0278961,123.6752711,88.06190455,106.949859,1657122,372082,157504,1127536,68.93877294,67.7005048,63.93623065,109330,101523,144056,87.32,86.51,88.37,85.23,88.61,87.42,87.56,89.54,88.76,107.63,102.92,165.15,107.85,103.21,165.15,158.9559237,170.4372624,5085,5379,59.17,146.95,133.45,145.36,145.29,74.07,82.87,101.29,75.25,81.47,79.93,85.69,140.16,3561.17,2412.19,702.69,514.93,920.23,722.64,308.03,54.38,1113.06,153.21,61.99466667,194.4936474,1743.6,17788,121.8632331,1326.92,64.9,71.8,70.8,184.6522782,181.7551963,189.6725441,7.7,7.87,7.53,67.10010578,1405.2545,82.40543837,79.36364094,215336.7,324825.7,64.557,57.258
