date,tar1,tar2,tar3,tar4,tar5,tar6
2000-01-01,59.39,76.93,58.74,67.6,41.46,52.18
2000-02-01,59.28,76.91,58.74,67.3,41.46,52.12
2000-03-01,59.32,77.22,58.76,67.42,41.46,52.16
2000-04-01,59.16,77.11,58.68,67.21,41.46,52.09
2000-05-01,59.3,76.95,58.82,67.3,41.46,52.14
2000-06-01,59.69,76.98,58.99,67.5,41.46,52.25
2000-07-01,59.8,76.98,58.66,67.41,42.28,52.61
2000-08-01,59.97,77.56,58.92,67.32,42.28,52.69
2000-09-01,59.99,77.6,59.06,67.5,42.28,52.74
2000-10-01,59.69,77.24,59.07,67.44,42.28,52.68
2000-11-01,59.67,77.18,59.06,67.96,42.28,52.75
2000-12-01,59.48,77.29,58.91,67.95,42.28,52.7
2001-01-01,57.52,75.06,58.5,68.45,42.51,52.45
2001-02-01,57.52,74.98,58.54,68.7,42.51,52.49
2001-03-01,58.06,75.01,58.67,68.76,42.51,52.59
2001-04-01,58.07,75.02,58.55,68.74,42.51,52.57
2001-05-01,58.29,75.03,58.57,68.79,42.51,52.61
2001-06-01,58.27,75.03,58.63,68.55,42.51,52.59
2001-07-01,58.16,74.96,58.74,68.3,43.48,53.04
2001-08-01,58.17,75.03,58.78,68.05,43.48,53.02
2001-09-01,58.17,75.03,58.72,67.97,43.48,53
2001-10-01,58.1,74.86,58.75,67.69,43.48,52.95
2001-11-01,58.46,75.27,58.75,67.68,43.48,53.01
2001-12-01,58.47,75.22,58.08,67.77,43.48,52.91
2002-01-01,58.33,74.99,57.54,67.95,45.17,53.67
2002-02-01,58.43,74.95,57.54,68.16,45.17,53.71
2002-03-01,58.91,75.02,57.69,67.86,45.17,53.76
2002-04-01,59.32,75.07,57.96,67.78,45.17,53.85
2002-05-01,59.34,75.08,58.08,67.81,45.17,53.88
2002-06-01,60.14,75.28,58.42,67.76,45.17,54.04
2002-07-01,60.29,75.29,58.44,67.7,49.6,56.3
2002-08-01,60.39,75.91,58.76,67.75,49.6,56.41
2002-09-01,60.43,76.13,58.94,67.97,49.6,56.49
2002-10-01,60.47,76.14,59.16,67.92,49.6,56.52
2002-11-01,60.49,76.08,59.2,67.85,49.6,56.52
2002-12-01,60.52,76.1,59.25,67.84,49.6,56.53
2003-01-01,60.89,76.21,59.42,67.7,53.74,58.69
2003-02-01,61.78,76.44,59.77,68.66,53.74,59.01
2003-03-01,62.25,76.53,60.16,68.48,53.74,59.12
2003-04-01,62.64,76.74,60.63,68.52,53.74,59.27
2003-05-01,63.09,77.18,60.63,68.46,53.74,59.34
2003-06-01,63.26,77.4,60.65,68.53,53.74,59.39
2003-07-01,62.9,77.32,60.24,68.57,54.79,59.8
2003-08-01,62.89,77.36,60.26,68.58,54.79,59.81
2003-09-01,62.85,77.35,60.31,68.68,54.79,59.83
2003-10-01,63.14,77.75,60.47,68.93,54.79,59.95
2003-11-01,63.81,77.85,60.78,69.2,54.79,60.13
2003-12-01,65.66,80.4,61.05,69.54,54.79,60.59
2004-01-01,66.95,80.69,62.56,70.8,55.99,61.82
2004-02-01,68.5,80.94,64.22,71.75,55.99,62.46
2004-03-01,71.53,82.93,66.6,72.68,55.99,63.49
2004-04-01,72.33,83.69,67.48,74.08,55.99,63.98
2004-05-01,72.91,84.07,68.59,74.86,55.99,64.38
2004-06-01,72.77,84.34,68.66,75.1,55.99,64.42
2004-07-01,72.52,84.47,68.45,75.33,57.03,64.92
2004-08-01,72.63,84.66,68.84,75.51,57.03,65.03
2004-09-01,73.24,84.92,69.44,75.8,57.03,65.27
2004-10-01,73.78,85.22,69.24,75.76,57.03,65.32
2004-11-01,74.03,85.89,69.79,75.81,57.03,65.48
2004-12-01,73.86,85.8,69.8,76.1,57.03,65.5
2005-01-01,84.06,86.83,75.2,84.9,57.13,69.11
2005-02-01,83.79,86.72,75.38,85.44,57.13,69.18
2005-03-01,83.26,86.64,75.2,85.35,57.13,69.06
2005-04-01,83.57,86.67,75.57,85.31,57.13,69.16
2005-05-01,83.48,86.63,75.14,85.46,57.13,69.1
2005-06-01,82.25,86.8,74.7,85.67,57.13,68.9
2005-07-01,81.96,86.67,74.68,85.99,57.25,68.95
2005-08-01,81.9,86.64,74.71,86.18,57.25,68.98
2005-09-01,81.78,86.66,74.57,86.36,57.25,68.96
2005-10-01,82.01,86.75,74.69,87.24,57.25,69.14
2005-11-01,81.65,86.68,74.43,87.98,57.25,69.15
2005-12-01,81.37,86.58,73.39,88.26,57.25,68.96
2006-01-01,81.16,86.71,72.7,89.21,58.93,69.81
2006-02-01,80.9,86.46,72.82,89.13,58.93,69.77
2006-03-01,80.92,86.58,73.02,89.36,58.93,69.85
2006-04-01,80.91,86.75,73.13,91.35,58.93,70.15
2006-05-01,80.81,86.46,73.86,94.55,58.93,70.7
2006-06-01,80.05,85.05,74.6,95.43,58.93,70.79
2006-07-01,80.1,85.3,74.58,94.51,59.78,71.11
2006-08-01,77.14,81.5,75.39,94.66,59.78,70.71
2006-09-01,77.16,81.54,76.16,96.81,59.78,71.15
2006-10-01,77.15,81.45,76.57,96.79,59.78,71.21
2006-11-01,77.1,81.4,76.99,96.64,59.78,71.26
2006-12-01,77.05,81.4,77.05,95.98,59.78,71.17
2007-01-01,77.04,81.7,77.15,95.17,60.79,71.6
2007-02-01,77.2,81.74,77.4,94.34,60.79,71.55
