code,factor
tar1,골조 재료 지수
tar2,건축 재료 지수
tar3,설비마감 재료 지수
tar4,전기마감 재료 지수
tar5,노무비 통합 지수
tar6,통합 지수
var1,건설 수주 지수(건축/토목)(공공 민간)
var2,건설 수주 지수(건축)(공공 민간)
var3,건설 수주 지수(토목)(공공 민간)
var4,건설 수주 지수(건축/토목)(공공)
var5,건설 수주 지수(건축)(공공)
var6,건설 수주 지수(토목)(공공)
var7,건설 수주 지수(건축/토목)(민간)
var8,건설 수주 지수(건축)(민간)
var9,건설 수주 지수(토목)(민간)
var10,건설 수주 금액(건축/토목)(공공 민간)
var11,건설 수주 금액(건축)(공공 민간)
var12,건설 수주 금액(토목)(공공 민간)
var13,건설 수주 금액(건축/토목)(공공)
var14,건설 수주 금액(건축)(공공)
var15,건설 수주 금액(토목)(공공)
var16,건설 수주 금액(건축/토목)(민간)
var17,건설 수주 금액(건축)(민간)
var18,건설 수주 금액(토목)(민간)
var19,기계 수주 지수 연간
var20,기계 수주 금액 연간
var21,기업경기 실사지수 대기업
var22,기업경기 실사지수 중소기업
var23,기업경기 실사지수 건설업
var24,건축 허가 현황(동수별 건축허가 현황)(합계)
var25,건축 허가 현황(동수별 건축허가 현황)(주거용)
var26,건축 허가 현황(동수별 건축허가 현황)(상업용)
var27,건축 허가 현황(동수별 건축허가 현황)(공업용)
var28,건축 허가 현황(동수별 건축허가 현황)(교육 및 사회)
var29,건축 허가 현황(동수별 건축허가 현황)(기타)
var30,건축 허가 현황(연면적별 건축허가 현황)(합계)
var31,건축 허가 현황(연면적별 건축허가 현황)(주거용)
var32,건축 허가 현황(연면적별 건축허가 현황)(상업용)
var33,건축 허가 현황(연면적별 건축허가 현황)(공업용)
var34,건축 허가 현황(연면적별 건축허가 현황)(교육 및 사회)
var35,건축 허가 현황(연면적별 건축허가 현황)(기타)
var36,건축 착공 현황(동수별 건축착공 현황)(합계)
var37,건축 착공 현황(동수별 건축착공 현황)(주거용)
var38,건축 착공 현황(동수별 건축착공 현황)(상업용)
var39,건축 착공 현황(동수별 건축착공 현황)(공업용)
var40,건축 착공 현황(동수별 건축착공 현황)(교육 및 사회)
var41,건축 착공 현황(동수별 건축착공 현황)(기타)
var42,건축 착공 현황(연면적별 건축착공 현황)(합계)
var43,건축 착공 현황(연면적별 건축착공현황)(주거용)
var44,건축 착공  현황(연면적별 건축착공 현황)(상업용)
var45,건축 착공 현황(연면적별 건축착공 현황)(공업용)
var46,건축 착공현황(연면적별 건축착공 현황)(교육 및 사회)
var47,건축 착공 현황(연면적별 건축착공 현황)(기타)
var48,건설업 종사자수 지수(종합건설업/전문직별공사업)
