Date,Iteration,Actual,Predicted
2019-02-01,9,103.66,103.09325611469959
2019-03-01,9,104.05,103.29636748315099
2019-04-01,9,104.03,103.52358269351271
2019-05-01,9,104.08,103.75980573670797
2019-06-01,9,104.1,103.95261428547921
2019-07-01,9,103.91,104.07330239515858
2019-08-01,8,104.24,104.1940367926801
2019-09-01,8,104.26,104.26731023259973
2019-10-01,8,103.93,104.41381892672311
2019-11-01,8,103.57,104.49426133068823
2019-12-01,8,103.32,104.36830345819669
2020-01-01,8,103.46,104.72452033314725
2020-02-01,7,103.72,103.35262973617054
2020-03-01,7,103.52,103.47675439967769
2020-04-01,7,102.97,103.80758555310973
2020-05-01,7,102.51,104.36846475875015
2020-06-01,7,102.21,104.70085928144496
2020-07-01,7,101.84,105.1263093813588
2020-08-01,6,102.11,102.2197683441465
2020-09-01,6,102.28,102.21192031151409
2020-10-01,6,102.23,102.58212574042312
2020-11-01,6,102.68,102.7822039903227
2020-12-01,6,104.07,102.48528242775396
2021-01-01,6,106.41,102.77334611155868
2021-02-01,5,107.66,107.57535203766251
2021-03-01,5,109.51,108.82074074562559
2021-04-01,5,113.88,109.83941204250073
2021-05-01,5,117.19,110.27235417207676
2021-06-01,5,120.12,110.32690182582336
2021-07-01,5,123.6,110.38427618218068
2021-08-01,4,125.67,126.04301131115366
2021-09-01,4,126.75,127.97305455155787
2021-10-01,4,129.04,129.50367316295592
2021-11-01,4,131.43,129.91347993063076
2021-12-01,4,131.84,130.04162692291067
2022-01-01,4,132.37,130.59386548903973
2022-02-01,3,132.98,132.72070420856141
2022-03-01,3,135.16,132.54512743473202
2022-04-01,3,138.45,132.559185171017
2022-05-01,3,139.14,132.53437933416828
2022-06-01,3,139.57,132.24493077825724
2022-07-01,3,139.21,132.2662955295526
2022-08-01,2,138.14,139.3297744510494
2022-09-01,2,138.57,139.53929837683532
2022-10-01,2,138.51,139.602255341257
2022-11-01,2,138.02,139.67100428872433
2022-12-01,2,137.29,139.5580290077576
2023-01-01,2,136.98,139.75965749621074
2023-02-01,1,137.38,136.560753723511
2023-03-01,1,137.83,136.07239344126714
2023-04-01,1,137.68,135.968948730819
2023-05-01,1,137.24,136.01368635229608
2023-06-01,1,137.25,135.82189329996794
2023-07-01,1,136.76,136.09835981477215
2023-08-01,0,136.42,136.38418508010216
2023-09-01,0,136.23,136.19507264112374
2023-10-01,0,135.78,136.41107599881403
2023-11-01,0,135.27,136.30064016340296
2023-12-01,0,135.25,135.890686837328
2024-01-01,0,134.64,136.02557325891226
