Date,Iteration,Actual,Predicted
2019-02-01,9,119.26,118.88096518975438
2019-03-01,9,119.41,118.92727137327715
2019-04-01,9,119.37,118.836923341245
2019-05-01,9,119.39,118.97870269883408
2019-06-01,9,119.36,119.09861646285164
2019-07-01,9,121.2,121.39425954090754
2019-08-01,8,121.34,120.90512626966962
2019-09-01,8,121.23,120.67720743034376
2019-10-01,8,120.93,120.49691661043438
2019-11-01,8,120.7,120.07362357583601
2019-12-01,8,120.68,119.60510346738545
2020-01-01,8,122.49,121.28756510088523
2020-02-01,7,122.69,122.64978015300574
2020-03-01,7,122.49,123.00334989336683
2020-04-01,7,122.21,123.14400466624232
2020-05-01,7,122.08,123.49859234408683
2020-06-01,7,122.08,123.75488621021837
2020-07-01,7,123.97,125.84842464190086
2020-08-01,6,124.1,124.06218290753914
2020-09-01,6,124.14,124.087606425353
2020-10-01,6,124.12,123.81412708098408
2020-11-01,6,124.39,123.25740559065733
2020-12-01,6,125.05,122.77216295935384
2021-01-01,6,127.7,124.7256703262918
2021-02-01,5,128.37,127.86843628203866
2021-03-01,5,129.29,128.12408964824607
2021-04-01,5,130.98,128.21975313639857
2021-05-01,5,132.49,128.43741309331344
2021-06-01,5,133.96,128.81271235756466
2021-07-01,5,136.47,131.0677261805282
2021-08-01,4,137.54,136.43018302725142
2021-09-01,4,138.2,136.33880488201154
2021-10-01,4,139.03,136.3224127159513
2021-11-01,4,139.74,135.86445963874738
2021-12-01,4,139.94,135.7542941626491
2022-01-01,4,143.34,137.29314147187065
2022-02-01,3,143.82,143.72049895295723
2022-03-01,3,145.21,144.35764072974308
2022-04-01,3,146.6,145.00883166133823
2022-05-01,3,146.86,145.6796054689346
2022-06-01,3,146.8,146.13075719793486
2022-07-01,3,148.61,148.30727443442672
2022-08-01,2,148.15,148.79358834777898
2022-09-01,2,148.74,148.76666119833536
2022-10-01,2,148.8,149.04445611869406
2022-11-01,2,148.87,148.86375364019452
2022-12-01,2,148.61,148.07195139671825
2023-01-01,2,151.26,150.29552185128026
2023-02-01,1,151.58,151.1749404050244
2023-03-01,1,151.73,151.83871806846818
2023-04-01,1,151.73,152.42242506801676
2023-05-01,1,151.5,152.54396468143148
2023-06-01,1,151.52,152.48170635737264
2023-07-01,1,154.05,154.50875705262823
2023-08-01,0,153.97,154.10455768798397
2023-09-01,0,153.89,154.47831784796637
2023-10-01,0,153.8,154.49242995805437
2023-11-01,0,153.72,154.39167946437738
2023-12-01,0,153.3,154.06217649794664
2024-01-01,0,154.79,156.36771027305045
