Date,Iteration,Actual,Predicted
2019-02-01,9,103.22,102.15574
2019-03-01,9,103.58,103.01477
2019-04-01,9,103.3,104.022316
2019-05-01,9,103.3,103.40886
2019-06-01,9,102.87,103.29269
2019-07-01,9,102.66,103.07511
2019-08-01,8,103.07,103.00928
2019-09-01,8,102.76,103.47605
2019-10-01,8,102.42,102.85762
2019-11-01,8,102.19,102.678055
2019-12-01,8,102.55,102.51397
2020-01-01,8,102.38,102.86353
2020-02-01,7,102.33,102.344734
2020-03-01,7,101.58,102.50723
2020-04-01,7,100.98,102.07367
2020-05-01,7,101.15,101.66177
2020-06-01,7,101.77,101.59183
2020-07-01,7,102.62,103.05674
2020-08-01,6,103.21,102.81496
2020-09-01,6,103.5,103.20732
2020-10-01,6,103.37,103.66885
2020-11-01,6,103.81,103.43585
2020-12-01,6,105.06,103.895584
2021-01-01,6,105.68,104.35909
2021-02-01,5,107.7,106.01128
2021-03-01,5,109.73,107.90288
2021-04-01,5,111.5,109.21046
2021-05-01,5,113.66,109.28089
2021-06-01,5,113.92,109.33127
2021-07-01,5,114.46,109.723114
2021-08-01,4,115.08,113.72189
2021-09-01,4,115.63,114.26158
2021-10-01,4,117.04,114.130875
2021-11-01,4,117.45,113.493546
2021-12-01,4,118.28,113.335526
2022-01-01,4,119.88,113.335526
2022-02-01,3,121.13,119.25365
2022-03-01,3,123.97,119.06259
2022-04-01,3,125.73,119.06259
2022-05-01,3,125.36,119.06259
2022-06-01,3,125.73,119.06259
2022-07-01,3,123.22,119.06259
2022-08-01,2,124.5,124.646
2022-09-01,2,126.84,125.42211
2022-10-01,2,127.27,125.6396
2022-11-01,2,128.04,125.17058
2022-12-01,2,128.14,125.34629
2023-01-01,2,129.22,123.72821
2023-02-01,1,130.12,128.96686
2023-03-01,1,130.46,128.96686
2023-04-01,1,130.91,128.96686
2023-05-01,1,130.25,128.96686
2023-06-01,1,130.7,128.96686
2023-07-01,1,130.46,128.35904
2023-08-01,0,130.85,131.58408
2023-09-01,0,130.54,130.56061
2023-10-01,0,130.71,130.67947
2023-11-01,0,131.54,130.66255
2023-12-01,0,131.72,130.57059
2024-01-01,0,131.87,130.01498
