Date,Iteration,Actual,Predicted
2019-02-01,19,132.71,126.1151411174342
2019-03-01,19,132.71,131.01144521297454
2019-04-01,19,132.71,130.69941700486322
2019-05-01,18,132.71,131.8223473172922
2019-06-01,18,132.71,131.4739931085781
2019-07-01,18,136.54,131.44580394735274
2019-08-01,17,136.54,134.9025973901197
2019-09-01,17,136.54,134.58920320935644
2019-10-01,17,136.54,134.8063875819493
2019-11-01,16,136.54,136.4862806930157
2019-12-01,16,136.54,135.35563137862303
2020-01-01,16,139.93,127.54773457815216
2020-02-01,15,139.93,128.10432278966383
2020-03-01,15,139.93,139.39433795689098
2020-04-01,15,139.93,138.43930294808578
2020-05-01,14,139.93,138.49483515757692
2020-06-01,14,139.93,138.3809581116622
2020-07-01,14,143.74,138.36775255550862
2020-08-01,13,143.74,141.20838237680098
2020-09-01,13,143.74,142.66968316161802
2020-10-01,13,143.74,143.02740611234213
2020-11-01,12,143.74,143.12686359938198
2020-12-01,12,143.74,142.9200020410586
2021-01-01,12,146.35,134.9925326039937
2021-02-01,11,146.35,141.98816743335365
2021-03-01,11,146.35,145.79475470499847
2021-04-01,11,146.35,145.78011847933328
2021-05-01,10,146.35,146.1466348247333
2021-06-01,10,146.35,146.196895399031
2021-07-01,10,149.28,146.19613737303692
2021-08-01,9,149.28,148.25377260316722
2021-09-01,9,149.28,148.63206986323002
2021-10-01,9,149.28,148.9361085299351
2021-11-01,8,149.28,149.15829340247768
2021-12-01,8,149.28,149.01882939479708
2022-01-01,8,154.55,145.5595077728541
2022-02-01,7,154.55,150.42070621218744
2022-03-01,7,154.55,153.05842004047787
2022-04-01,7,154.55,153.0365585907246
2022-05-01,6,154.55,153.9270723087333
2022-06-01,6,154.55,153.87010945671
2022-07-01,6,158.05,152.44291980547843
2022-08-01,5,158.05,155.20506183182258
2022-09-01,5,158.05,156.45641237427805
2022-10-01,5,158.05,156.2295018608899
2022-11-01,4,158.05,156.82777475271112
2022-12-01,4,158.05,156.38282435902875
2023-01-01,4,163.13,157.32205869380658
2023-02-01,3,163.13,159.31067918792172
2023-03-01,3,163.13,161.76555983510644
2023-04-01,3,163.13,160.81747717657584
2023-05-01,2,163.13,161.86669116330168
2023-06-01,2,163.13,162.65953351397957
2023-07-01,2,168.53,161.79359395685103
2023-08-01,1,168.53,166.62145354243188
2023-09-01,1,168.53,167.31803022579615
2023-10-01,1,168.53,167.43753718602466
2023-11-01,0,168.53,167.2076671108515
2023-12-01,0,168.53,167.18966454650675
2024-01-01,0,171.64,169.35680300476145
