date,tar1,tar2,tar3,tar4,tar5
2000-01-01,50.97,58.5,49.91,54.65,52.18
2000-02-01,50.91,58.49,49.91,54.47,52.12
2000-03-01,50.93,58.64,49.92,54.55,52.16
2000-04-01,50.85,58.58,49.89,54.42,52.09
2000-05-01,50.92,58.51,49.95,54.47,52.14
2000-06-01,51.11,58.52,50.02,54.59,52.25
2000-07-01,51.54,58.92,50.28,55.02,52.61
2000-08-01,51.62,59.19,50.4,54.97,52.69
2000-09-01,51.63,59.2,50.46,55.08,52.74
2000-10-01,51.48,59.04,50.46,55.04,52.68
2000-11-01,51.48,59.01,50.46,55.36,52.75
2000-12-01,51.38,59.06,50.4,55.35,52.7
2001-01-01,50.54,58.16,50.34,55.76,52.45
2001-02-01,50.54,58.13,50.35,55.91,52.49
2001-03-01,50.8,58.14,50.41,55.95,52.59
2001-04-01,50.81,58.14,50.36,55.93,52.57
2001-05-01,50.92,58.15,50.37,55.96,52.61
2001-06-01,50.91,58.15,50.4,55.82,52.59
2001-07-01,51.32,58.61,50.95,56.15,53.04
2001-08-01,51.32,58.64,50.97,56,53.02
2001-09-01,51.33,58.64,50.95,55.96,53
2001-10-01,51.29,58.56,50.96,55.78,52.95
2001-11-01,51.47,58.75,50.96,55.78,53.01
2001-12-01,51.47,58.73,50.66,55.83,52.91
2002-01-01,52.22,59.48,51.31,56.79,53.67
2002-02-01,52.27,59.47,51.31,56.92,53.71
2002-03-01,52.5,59.5,51.38,56.74,53.76
2002-04-01,52.7,59.52,51.5,56.69,53.85
2002-05-01,52.71,59.53,51.55,56.71,53.88
2002-06-01,53.1,59.62,51.7,56.68,54.04
2002-07-01,55.37,61.95,54.11,58.63,56.3
2002-08-01,55.42,62.23,54.25,58.67,56.41
2002-09-01,55.44,62.33,54.33,58.8,56.49
2002-10-01,55.46,62.34,54.43,58.77,56.52
2002-11-01,55.47,62.31,54.45,58.73,56.52
2002-12-01,55.48,62.32,54.47,58.72,56.53
2003-01-01,57.96,64.8,57.05,59.64,58.69
2003-02-01,58.39,64.9,57.2,60.22,59.01
2003-03-01,58.62,64.94,57.37,60.11,59.12
2003-04-01,58.81,65.04,57.58,60.13,59.27
2003-05-01,59.03,65.24,57.58,60.09,59.34
2003-06-01,59.11,65.34,57.59,60.14,59.39
2003-07-01,59.42,65.81,57.93,60.81,59.8
2003-08-01,59.41,65.83,57.94,60.82,59.81
2003-09-01,59.39,65.82,57.96,60.87,59.83
2003-10-01,59.53,66,58.03,61.03,59.95
2003-11-01,59.86,66.05,58.16,61.19,60.13
2003-12-01,60.76,67.22,58.28,61.4,60.59
2004-01-01,61.99,67.98,59.6,62.69,61.82
2004-02-01,62.74,68.1,60.33,63.26,62.46
2004-03-01,64.22,69.01,61.38,63.83,63.49
2004-04-01,64.61,69.35,61.77,64.68,63.98
2004-05-01,64.89,69.53,62.25,65.16,64.38
2004-06-01,64.82,69.65,62.29,65.3,64.42
2004-07-01,65.13,70.17,62.66,66.21,64.92
2004-08-01,65.18,70.25,62.83,66.32,65.03
2004-09-01,65.48,70.37,63.1,66.49,65.27
2004-10-01,65.74,70.51,63.01,66.47,65.32
2004-11-01,65.86,70.81,63.25,66.51,65.48
2004-12-01,65.78,70.77,63.25,66.68,65.5
2005-01-01,70.76,71.26,65.65,72.22,69.11
2005-02-01,70.63,71.21,65.73,72.55,69.18
2005-03-01,70.37,71.17,65.65,72.49,69.06
2005-04-01,70.52,71.19,65.81,72.47,69.16
2005-05-01,70.48,71.17,65.62,72.56,69.1
2005-06-01,69.88,71.25,65.43,72.69,68.9
2005-07-01,69.83,71.29,65.52,72.81,68.95
2005-08-01,69.8,71.27,65.54,72.93,68.98
2005-09-01,69.74,71.28,65.47,73.04,68.96
2005-10-01,69.85,71.32,65.53,73.57,69.14
2005-11-01,69.68,71.29,65.41,74.02,69.15
2005-12-01,69.54,71.25,64.95,74.19,68.96
2006-01-01,70.31,72.22,65.6,75.4,69.81
2006-02-01,70.18,72.11,65.65,75.35,69.77
2006-03-01,70.19,72.16,65.74,75.5,69.85
2006-04-01,70.18,72.24,65.78,76.71,70.15
2006-05-01,70.14,72.11,66.11,78.66,70.7
2006-06-01,69.77,71.46,66.43,79.19,70.79
2006-07-01,70.24,72.05,66.91,78.94,71.11
2006-08-01,68.8,70.31,67.27,79.03,70.71
2006-09-01,68.81,70.33,67.6,80.34,71.15
2006-10-01,68.8,70.29,67.78,80.33,71.21
2006-11-01,68.78,70.27,67.97,80.24,71.26
2006-12-01,68.75,70.27,68,79.83,71.17
2007-01-01,69.24,70.92,68.58,79.82,71.6
2007-02-01,69.32,70.94,68.69,79.31,71.55
2007-03-01,69.48,70.89,69.02,79.25,71.7
2007-04-01,70.01,70.96,69.57,81.11,72.5
2007-05-01,70.03,70.97,69.9,81.58,72.74
2007-06-01,70.06,70.97,70.16,81.48,72.83
2007-07-01,70.81,71.67,70.69,82.7,73.6
2007-08-01,71.34,71.72,70.38,82.63,73.6
2007-09-01,72,72.16,70.11,83.05,73.81
2007-10-01,72.05,72.15,70.34,83.07,73.92
2007-11-01,72.23,72.14,70.48,83.69,74.17
2007-12-01,72.31,72.19,70.47,83.51,74.15
2008-01-01,73.63,73.58,71.68,84.27,75.31
2008-02-01,75.4,74.02,72.71,84.84,76.36
2008-03-01,76.54,74.57,73.2,85.59,77.1
2008-04-01,79.09,75.76,75.2,86.41,78.89
2008-05-01,81.26,76.23,76.84,86.71,80.24
2008-06-01,83.47,77.4,77.78,86.47,81.27
2008-07-01,85.85,81.24,81.16,88.6,84.14
2008-08-01,87.17,81.95,81.29,89.13,84.74
2008-09-01,87.31,82.41,81.11,88.97,84.72
2008-10-01,87.64,83.09,81.44,88.35,84.86
2008-11-01,86.37,82.89,81.24,87.14,84.15
2008-12-01,83.15,81.7,80.4,85.43,82.43
2009-01-01,83.73,82.47,81.25,85.72,83.07
2009-02-01,83.13,82.15,80.72,85.59,82.64
2009-03-01,83.11,81.85,80.44,85.9,82.56
2009-04-01,82.79,81.69,80.19,86.31,82.45
2009-05-01,82.36,81.14,79.52,85.89,81.92
2009-06-01,81.48,80.98,78.25,85.77,81.13
2009-07-01,81.46,80.78,77.99,86.1,81.08
2009-08-01,81.63,80.8,78.19,86.99,81.41
2009-09-01,81.99,80.99,78.63,87.68,81.86
2009-10-01,81.75,80.9,78.48,87.43,81.67
2009-11-01,81.47,80.85,78.43,87.7,81.63
2009-12-01,81.48,80.89,78.25,88.02,81.65
2010-01-01,85.54,85.61,82.31,89.9,85.27
2010-02-01,85.11,85,82.46,89.78,85.12
2010-03-01,85.76,85.27,82.83,89.96,85.52
2010-04-01,86.26,85.58,83.3,90.36,85.96
2010-05-01,87.59,86.76,84.4,90.36,86.87
2010-06-01,87.03,86.39,84.39,90.26,86.66
2010-07-01,88.03,87.91,85.55,91.7,87.88
2010-08-01,88.12,87.93,85.75,91.63,87.97
2010-09-01,88.29,88.11,85.78,91.84,88.09
2010-10-01,87.92,87.71,86,92.26,88.14
