Date,Iteration,Actual,Predicted
2019-02-01,9,103.66,103.29313772589816
2019-03-01,9,104.05,103.37076640257277
2019-04-01,9,104.03,102.96373644621417
2019-05-01,9,104.08,103.71529774898437
2019-06-01,9,104.1,103.12229057371272
2019-07-01,9,103.91,103.15603703627139
2019-08-01,8,104.24,103.5253798931422
2019-09-01,8,104.26,104.10759447203893
2019-10-01,8,103.93,104.28005037836778
2019-11-01,8,103.57,103.81840073625023
2019-12-01,8,103.32,103.9353091726486
2020-01-01,8,103.46,102.3590807604755
2020-02-01,7,103.72,102.39082610104128
2020-03-01,7,103.52,102.45590668523573
2020-04-01,7,102.97,101.51117062075446
2020-05-01,7,102.51,102.01648348503375
2020-06-01,7,102.21,101.55849686109593
2020-07-01,7,101.84,101.31970517450156
2020-08-01,6,102.11,102.11624501911976
2020-09-01,6,102.28,103.29683623686091
2020-10-01,6,102.23,102.84219122870047
2020-11-01,6,102.68,101.6389487103347
2020-12-01,6,104.07,102.37206572706037
2021-01-01,6,106.41,103.70794071741405
2021-02-01,5,107.66,107.16254748307975
2021-03-01,5,109.51,108.05073246199257
2021-04-01,5,113.88,108.6497479405347
2021-05-01,5,117.19,113.3052350222255
2021-06-01,5,120.12,115.94213383446655
2021-07-01,5,123.6,118.55338459719215
2021-08-01,4,125.67,125.70068148425895
2021-09-01,4,126.75,127.44778857767398
2021-10-01,4,129.04,129.09925748413974
2021-11-01,4,131.43,129.95365897074765
2021-12-01,4,131.84,131.46156645004072
2022-01-01,4,132.37,132.68157280651275
2022-02-01,3,132.98,132.76332185679533
2022-03-01,3,135.16,132.49177354938374
2022-04-01,3,138.45,133.70622764382497
2022-05-01,3,139.14,136.67391100926716
2022-06-01,3,139.57,138.66837765127025
2022-07-01,3,139.21,139.74348926987093
2022-08-01,2,138.14,140.07164562743492
2022-09-01,2,138.57,138.18300552768187
2022-10-01,2,138.51,140.69502041233432
2022-11-01,2,138.02,139.36898331438613
2022-12-01,2,137.29,138.63480783738203
2023-01-01,2,136.98,136.28640603196743
2023-02-01,1,137.38,134.95204109153713
2023-03-01,1,137.83,135.7732604816248
2023-04-01,1,137.68,135.8807683908591
2023-05-01,1,137.24,136.21431161241776
2023-06-01,1,137.25,135.62786458226572
2023-07-01,1,136.76,133.30705635898994
2023-08-01,0,136.42,134.39698673047548
2023-09-01,0,136.23,134.57803962886754
2023-10-01,0,135.78,134.45787241974284
2023-11-01,0,135.27,134.2962666965529
2023-12-01,0,135.25,133.5835492467947
2024-01-01,0,134.64,131.68276445661382
