Date,Iteration,Actual,Predicted
2019-02-01,9,119.26,117.68535
2019-03-01,9,119.41,117.374954
2019-04-01,9,119.37,118.107155
2019-05-01,9,119.39,118.0584
2019-06-01,9,119.36,118.19989
2019-07-01,9,121.2,118.21438
2019-08-01,8,121.34,120.069046
2019-09-01,8,121.23,119.737885
2019-10-01,8,120.93,120.0346
2019-11-01,8,120.7,120.68499
2019-12-01,8,120.68,120.73829
2020-01-01,8,122.49,120.43006
2020-02-01,7,122.69,120.75102
2020-03-01,7,122.49,120.85555
2020-04-01,7,122.21,120.84319
2020-05-01,7,122.08,120.74412
2020-06-01,7,122.08,120.99554
2020-07-01,7,123.97,121.45131
2020-08-01,6,124.1,122.58132
2020-09-01,6,124.14,122.53644
2020-10-01,6,124.12,122.7172
2020-11-01,6,124.39,122.533005
2020-12-01,6,125.05,122.51313
2021-01-01,6,127.7,122.65998
2021-02-01,5,128.37,127.109505
2021-03-01,5,129.29,127.16504
2021-04-01,5,130.98,127.12849
2021-05-01,5,132.49,127.091286
2021-06-01,5,133.96,127.102615
2021-07-01,5,136.47,127.26594
2021-08-01,4,137.54,134.80032
2021-09-01,4,138.2,135.01988
2021-10-01,4,139.03,135.6046
2021-11-01,4,139.74,135.22899
2021-12-01,4,139.94,135.2809
2022-01-01,4,143.34,135.28494
2022-02-01,3,143.82,143.32741
2022-03-01,3,145.21,143.33261
2022-04-01,3,146.6,143.31345
2022-05-01,3,146.86,142.93452
2022-06-01,3,146.8,143.35959
2022-07-01,3,148.61,143.32588
2022-08-01,2,148.15,147.70807
2022-09-01,2,148.74,148.65425
2022-10-01,2,148.8,148.77068
2022-11-01,2,148.87,148.65152
2022-12-01,2,148.61,148.60663
2023-01-01,2,151.26,148.77176
2023-02-01,1,151.58,148.99677
2023-03-01,1,151.73,150.19319
2023-04-01,1,151.73,150.49352
2023-05-01,1,151.5,150.44669
2023-06-01,1,151.52,150.58553
2023-07-01,1,154.05,150.7211
2023-08-01,0,153.97,153.3233
2023-09-01,0,153.89,151.57538
2023-10-01,0,153.8,151.52255
2023-11-01,0,153.72,153.56038
2023-12-01,0,153.3,153.91415
2024-01-01,0,154.79,153.89798
