Date,Iteration,Actual,Predicted
2019-02-01,9,132.71,131.30849062768138
2019-03-01,9,132.71,131.49199076181534
2019-04-01,9,132.71,131.90343670778336
2019-05-01,9,132.71,132.39737273698697
2019-06-01,9,132.71,132.42621969581543
2019-07-01,9,136.54,134.8446701455599
2019-08-01,8,136.54,136.0328302393154
2019-09-01,8,136.54,136.7030817479329
2019-10-01,8,136.54,137.19552796858062
2019-11-01,8,136.54,137.6593134703275
2019-12-01,8,136.54,138.34897681335445
2020-01-01,8,139.93,140.30540386181957
2020-02-01,7,139.93,140.7350701258456
2020-03-01,7,139.93,140.13914535967297
2020-04-01,7,139.93,139.80624574964907
2020-05-01,7,139.93,139.5530703875395
2020-06-01,7,139.93,139.01597038482123
2020-07-01,7,143.74,142.2579828742106
2020-08-01,6,143.74,142.93059293620513
2020-09-01,6,143.74,143.82919043701565
2020-10-01,6,143.74,144.5705681241982
2020-11-01,6,143.74,144.8144398691826
2020-12-01,6,143.74,145.42520077930737
2021-01-01,6,146.35,147.39697793982918
2021-02-01,5,146.35,146.92962505671574
2021-03-01,5,146.35,146.6752683514701
2021-04-01,5,146.35,146.87494399907564
2021-05-01,5,146.35,146.8693023502084
2021-06-01,5,146.35,146.71965103586808
2021-07-01,5,149.28,148.95316994703296
2021-08-01,4,149.28,149.2479517058569
2021-09-01,4,149.28,149.76739055412628
2021-10-01,4,149.28,150.1159527376921
2021-11-01,4,149.28,150.2754263650698
2021-12-01,4,149.28,150.7966539175331
2022-01-01,4,154.55,152.48725702507505
2022-02-01,3,154.55,153.0622236595563
2022-03-01,3,154.55,153.29525467055436
2022-04-01,3,154.55,153.78500688001822
2022-05-01,3,154.55,154.59843836328122
2022-06-01,3,154.55,154.45180653642177
2022-07-01,3,158.05,157.07050957689017
2022-08-01,2,158.05,157.7360299190624
2022-09-01,2,158.05,158.10821823165793
2022-10-01,2,158.05,158.6637805590309
2022-11-01,2,158.05,158.95290384766326
2022-12-01,2,158.05,159.4649777341118
2023-01-01,2,163.13,161.2056912036702
2023-02-01,1,163.13,161.82912647819825
2023-03-01,1,163.13,162.04237351491423
2023-04-01,1,163.13,162.73213297709134
2023-05-01,1,163.13,163.3573726190637
2023-06-01,1,163.13,163.37378477177487
2023-07-01,1,168.53,165.65780994407436
2023-08-01,0,168.53,166.77983388442357
2023-09-01,0,168.53,167.6449099810448
2023-10-01,0,168.53,168.03832142941638
2023-11-01,0,168.53,168.74229920974693
2023-12-01,0,168.53,169.42064908540448
2024-01-01,0,171.64,171.25021262782792
