Date,Iteration,Actual,Predicted
2019-02-01,9,119.26,117.93102
2019-03-01,9,119.41,117.86033
2019-04-01,9,119.37,118.48658
2019-05-01,9,119.39,118.49047
2019-06-01,9,119.36,118.50567
2019-07-01,9,121.2,118.55756
2019-08-01,8,121.34,119.19322
2019-09-01,8,121.23,119.30009
2019-10-01,8,120.93,119.486176
2019-11-01,8,120.7,120.57108
2019-12-01,8,120.68,120.18051
2020-01-01,8,122.49,120.037766
2020-02-01,7,122.69,120.72014
2020-03-01,7,122.49,120.72965
2020-04-01,7,122.21,120.90146
2020-05-01,7,122.08,120.5278
2020-06-01,7,122.08,121.11835
2020-07-01,7,123.97,121.37104
2020-08-01,6,124.1,122.809944
2020-09-01,6,124.14,122.60921
2020-10-01,6,124.12,123.19071
2020-11-01,6,124.39,122.795456
2020-12-01,6,125.05,123.59559
2021-01-01,6,127.7,123.64943
2021-02-01,5,128.37,126.808914
2021-03-01,5,129.29,126.882095
2021-04-01,5,130.98,126.80757
2021-05-01,5,132.49,126.79508
2021-06-01,5,133.96,126.74597
2021-07-01,5,136.47,126.75972
2021-08-01,4,137.54,136.463
2021-09-01,4,138.2,136.46611
2021-10-01,4,139.03,136.46204
2021-11-01,4,139.74,136.46017
2021-12-01,4,139.94,136.4673
2022-01-01,4,143.34,135.96848
2022-02-01,3,143.82,143.36482
2022-03-01,3,145.21,143.24388
2022-04-01,3,146.6,143.11795
2022-05-01,3,146.86,143.26054
2022-06-01,3,146.8,143.11249
2022-07-01,3,148.61,143.18115
2022-08-01,2,148.15,147.33286
2022-09-01,2,148.74,148.15457
2022-10-01,2,148.8,148.34915
2022-11-01,2,148.87,147.78558
2022-12-01,2,148.61,148.48611
2023-01-01,2,151.26,148.04065
2023-02-01,1,151.58,148.97168
2023-03-01,1,151.73,150.4159
2023-04-01,1,151.73,150.78143
2023-05-01,1,151.5,151.06859
2023-06-01,1,151.52,150.99802
2023-07-01,1,154.05,150.92828
2023-08-01,0,153.97,153.60298
2023-09-01,0,153.89,151.99385
2023-10-01,0,153.8,151.20514
2023-11-01,0,153.72,153.70857
2023-12-01,0,153.3,153.8066
2024-01-01,0,154.79,154.03368
