date,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,var127,var128,var129,var130,var131,var132,var133,var134,var135,var136,var137,var138
2000-01-01,44.43817236,49.54811063,42.46327956,44.41086576,46.5401128,34.97481813,44.45079365,86.92468619,43.12139864,40936,12719,28216,12932,11057,1875,28004,1662,26342,37.5663065,5307420,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.49758797,90.53294954,112.9579103,82.31205407,1342192,272372,202032,867788,44.85591778,42.97774725,40.14078256,71137,64449,90442,55.12,55.6,54.82,55.45,52.4,50.44,50.69,55.18,54.71,57.22,55.28,86.99,57.37,55.43,86.99,,,,,,,,,,,,,28.35,58.07,88.35,51.02,49.41,41.95,92.88,87.24,65.79,64.89,62.74,72.97,46.99,,,,,,,,,828.38,101.24,,,,,103.8765314,1131.07,49,47.2,48.5,,,,,,,,,,,32.21764555,674.7231,59.31001704,53.94402179,154985.2,220786.3,38.995,37.418
2000-02-01,46.54957175,56.83287885,42.57765471,43.78927848,43.0255072,47.1740347,47.82539683,228.3472803,42.17358565,42881,14589,28292,12751,10222,2529,30130,4366,25763,37.5663065,5307420,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.49758797,90.53294954,112.9579103,82.31205407,1342192,272372,202032,867788,44.85591778,42.97774725,40.14078256,71137,64449,90442,55.05,55.6,54.75,55.38,52.4,50.57,50.69,54.9,54.64,57.36,55.43,86.6,57.52,55.58,86.6,,,,,,,,,,,,,28.53,58.24,88.35,51.02,49.41,41.95,92.88,87.24,65.79,64.1,61.77,72.99,41.14,,,,,,,,,828.38,77.23,,,,,103.6680565,1128.8,49.2,47.4,49,,,,,,,,,,,32.35550771,677.6103,59.31001704,53.94402179,154985.2,220786.3,39.161,38.501
2000-03-01,53.01186509,63.2645111,49.0518902,68.02087984,60.9815641,99.21656407,46.07460317,91.63179916,44.64870351,48834,16240,32594,19807,14488,5319,29027,1752,27275,37.5663065,5307420,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.49758797,90.53294954,112.9579103,82.31205407,1342192,272372,202032,867788,44.85591778,42.97774725,40.14078256,71137,64449,90442,55.19,55.67,54.82,55.45,52.47,50.64,50.75,55.04,54.71,57.22,55.35,85.81,57.37,55.51,85.81,,,,,,,,,,,,,28.53,58.42,88.35,51.02,49.41,41.95,92.88,87.24,65.79,63.36,60.86,72.99,45.12,,,,,,,,,860.94,74.7,,,,,102.6018037,1117.19,49.4,47.9,49.4,,,,,,,,,,,32.72731822,685.397,59.31001704,53.94402179,154985.2,220786.3,39.327,39.368
2000-04-01,51.84489628,62.72302298,47.64326993,64.53174903,61.6718579,77.2057452,45.98095238,75.78451883,45.04812729,47759,16101,31658,18791,14652,4139,28968,1449,27519,37.5663065,5307420,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.49758797,90.53294954,112.9579103,82.31205407,1342192,272372,202032,867788,44.85591778,42.97774725,40.14078256,71137,64449,90442,55.19,55.67,54.82,55.31,52.54,50.71,50.82,55.11,54.71,57.14,55.28,85.2,57.23,55.43,85.2,,,,,,,,,,,,,28.53,57.94,88.26,50.47,49.41,42.28,92.88,87.24,65.79,63.39,60.49,74.68,43.53,,,,,,,,,725.39,69.75,,,,,101.9194387,1109.76,49.3,48.2,49.7,,,,,,,,,,,32.92576964,689.5531,59.93677331,54.66283139,156623,223728.3,39.368,39.874
2000-05-01,59.92791932,59.36501753,60.1462798,68.37460078,57.25229396,117.6646148,56.02380952,85.61715481,55.09756417,55205,15239,39966,19910,13602,6308,35295,1637,33658,37.5663065,5307420,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.49758797,90.53294954,112.9579103,82.31205407,1342192,272372,202032,867788,44.85591778,42.97774725,40.14078256,71137,64449,90442,55.19,55.67,54.82,55.31,52.54,50.85,50.82,55.04,54.71,57.29,55.43,85.61,57.45,55.51,85.61,,,,,,,,,,,,,28.53,55.49,88.26,48.39,49.41,43.14,92.88,87.24,65.79,64.92,62.38,74.68,37.21,,,,,,,,,731.88,62.24,,,,,102.8607902,1120.01,49.4,48.8,50.1,,,,,,,,,,,32.88452845,688.6894,59.93677331,54.66283139,156623,223728.3,39.327,39.91
2000-06-01,73.35077454,89.89481885,66.96063087,80.27061369,66.40289587,141.7086364,70.15238095,381.7991632,60.3981142,67570,23076,44494,23374,15776,7597,44196,7300,36896,37.5663065,5307420,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.49758797,90.53294954,112.9579103,82.31205407,1342192,272372,202032,867788,44.85591778,42.97774725,40.14078256,71137,64449,90442,55.19,55.74,54.89,55.31,52.75,51.05,51.03,55.18,54.85,57.44,55.57,85.2,57.52,55.72,85.2,,,,,,,,,,,,,28.53,59.67,92.97,52.16,49.41,42.9,90.41,91.45,65.79,64.92,62.38,74.68,41.31,,,,,,,,,821.22,67.57,,,,,102.743236,1118.73,49.6,49.2,50.5,,,,,,,,,,,32.92366389,689.509,59.93677331,54.66283139,156623,223728.3,39.203,39.838
2000-07-01,41.8795254,50.97779509,38.36533831,45.03932141,33.70654095,95.28073121,40.41904762,265.5857741,33.36989261,38579,13086,25493,13115,8008,5108,25464,5078,20385,37.5663065,5307420,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.49758797,90.53294954,112.9579103,82.31205407,1342192,272372,202032,867788,45.65231099,43.70594629,40.35648345,72400,65541,90928,55.33,55.88,55.03,55.31,52.89,51.25,51.03,55.18,54.99,57.67,55.86,85,57.82,55.94,85,,,,,,,,,,,,,28.53,59.98,92.97,52.16,49.41,43.46,90.41,91.45,65.79,65.2,63.04,73.31,51.22,,,,,,,,,705.97,55.54,,,,,102.3878185,1114.86,49.8,49.9,51,,,,,,,,,,,32.93370559,689.7193,60.24693692,56.16856891,157433.5,229891.1,39.203,39.91
2000-08-01,50.98622434,60.03506038,47.49127137,56.83574299,45.91716474,105.2229062,48.28095238,235.460251,42.424044,46968,15411,31557,16550,10909,5641,30417,4502,25916,37.5663065,5307420,,,,,,,,,,,,,,,,6671,2905,2008,741,0,1017,4313189,1812355,1088979,687577,0,724278,87.49758797,90.53294954,112.9579103,82.31205407,1342192,272372,202032,867788,45.65231099,43.70594629,40.35648345,72400,65541,90928,55.33,55.81,54.96,55.24,53.03,51.53,51.23,55.32,55.06,57.81,55.94,85.4,57.97,56.01,85.4,,,,,,,,,,,,,28.53,62.02,94.72,55.06,53.34,46.56,90.41,95.67,65.79,65.2,63.04,73.31,38.51,,,,,,,,,688.62,61.2,,,,,102.3611851,1114.57,50.2,50.2,51.2,,,,,,,,,,,33.19506689,695.1929,60.24693692,56.16856891,157433.5,229891.1,39.285,40.488
2000-09-01,45.65724769,91.99454616,27.7570431,59.44228854,46.84316862,115.2770006,39.28571429,653.0334728,20.075956,42059,23615,18444,17309,11129,6180,24750,12486,12264,37.5663065,5307420,,,,,,,,,,,,,,,,5901,2653,1756,652,0,840,3411707,1273430,1014900,702592,0,420785,87.49758797,90.53294954,112.9579103,82.31205407,1342192,272372,202032,867788,45.65231099,43.70594629,40.35648345,72400,65541,90928,55.75,56.3,55.45,55.66,53.51,51.93,51.78,55.74,55.55,57.97,56.08,85.31,58.04,56.22,85.31,,,,,,,,,,,,,28.53,64.65,97.12,58.01,55.83,45.03,90.41,91.09,65.79,65.2,63.04,73.31,46.58,,,,,,,,,613.22,51.18,,,,,102.5384347,1116.5,50,50.4,51.5,,,,,,,,,,,33.40129192,699.5118,60.24693692,56.16856891,157433.5,229891.1,39.368,41.246
2000-10-01,47.99552752,47.99376704,47.99692993,63.3675607,39.88551225,167.4314494,40.89047619,148.6924686,37.51473284,44213,12320,31893,18452,9476,8976,25761,2843,22917,37.5663065,5307420,,,,,,,,,,,,,,,,7504,3246,2264,874,0,1120,4561839,1908535,1095874,1011477,0,545953,87.49758797,90.53294954,112.9579103,82.31205407,1342192,272372,202032,867788,45.65231099,43.70594629,40.35648345,72400,65541,90928,55.82,56.38,55.52,55.66,53.72,52.14,51.99,55.88,55.62,58.11,56.15,86.6,58.27,56.3,86.6,,,,,,,,,,,,,28.53,68.11,97.12,62.44,55.83,44.64,90.41,91.09,65.79,65.39,63.35,73,52.5,,,,,,,,,514.48,38.26,,,,,103.5312161,1127.31,49.5,50.4,52,,,,,,,,,,,33.32972507,698.013,60.7265903,55.98632551,158686.9,229145.2,39.41,41.68
