Date,Iteration,Actual,Predicted
2019-02-01,9,119.26,117.13889888739952
2019-03-01,9,119.41,117.8272775243094
2019-04-01,9,119.37,117.84261887264294
2019-05-01,9,119.39,117.86961468674535
2019-06-01,9,119.36,118.16187704309031
2019-07-01,9,121.2,121.5240477275111
2019-08-01,8,121.34,120.60432521188092
2019-09-01,8,121.23,120.67224691701075
2019-10-01,8,120.93,121.25807150355594
2019-11-01,8,120.7,121.02964685682902
2019-12-01,8,120.68,120.44800230253499
2020-01-01,8,122.49,121.99663700788416
2020-02-01,7,122.69,120.64989542410682
2020-03-01,7,122.49,121.0235620515191
2020-04-01,7,122.21,120.42525445489599
2020-05-01,7,122.08,120.12935711579897
2020-06-01,7,122.08,121.29795894845415
2020-07-01,7,123.97,124.66959285400539
2020-08-01,6,124.1,123.44670506167265
2020-09-01,6,124.14,124.04130420969372
2020-10-01,6,124.12,123.86105218961816
2020-11-01,6,124.39,123.93761722441431
2020-12-01,6,125.05,123.62500041814954
2021-01-01,6,127.7,125.52026840188941
2021-02-01,5,128.37,126.24984621100727
2021-03-01,5,129.29,127.1383505775889
2021-04-01,5,130.98,127.32132070726495
2021-05-01,5,132.49,129.07182297431268
2021-06-01,5,133.96,129.9537410721715
2021-07-01,5,136.47,132.65504748470516
2021-08-01,4,137.54,135.54826593902533
2021-09-01,4,138.2,136.90113556122105
2021-10-01,4,139.03,137.63801272246587
2021-11-01,4,139.74,138.30460733574068
2021-12-01,4,139.94,139.2039101563106
2022-01-01,4,143.34,139.37312160077022
2022-02-01,3,143.82,141.92417017275568
2022-03-01,3,145.21,142.68688535064598
2022-04-01,3,146.6,142.62468192594554
2022-05-01,3,146.86,144.72251023245735
2022-06-01,3,146.8,145.84598351047407
2022-07-01,3,148.61,148.53040559696956
2022-08-01,2,148.15,149.70275105448565
2022-09-01,2,148.74,148.90395053014817
2022-10-01,2,148.8,149.57245613285943
2022-11-01,2,148.87,149.36036630743638
2022-12-01,2,148.61,149.10116953251372
2023-01-01,2,151.26,150.27598756396668
2023-02-01,1,151.58,151.3121422064948
2023-03-01,1,151.73,150.95009984687186
2023-04-01,1,151.73,150.91299849330716
2023-05-01,1,151.5,152.1089909625445
2023-06-01,1,151.52,151.8277726105552
2023-07-01,1,154.05,153.19504429141722
2023-08-01,0,153.97,154.0338743534532
2023-09-01,0,153.89,153.9195183477578
2023-10-01,0,153.8,153.45869144439308
2023-11-01,0,153.72,153.36169951963524
2023-12-01,0,153.3,153.1879229799202
2024-01-01,0,154.79,157.0604451345119
