Date,Iteration,Actual,Predicted
2019-02-01,9,119.26,117.51049
2019-03-01,9,119.41,117.17864
2019-04-01,9,119.37,117.58779
2019-05-01,9,119.39,117.60354
2019-06-01,9,119.36,117.57777
2019-07-01,9,121.2,117.672226
2019-08-01,8,121.34,119.842674
2019-09-01,8,121.23,120.07271
2019-10-01,8,120.93,120.1719
2019-11-01,8,120.7,120.3892
2019-12-01,8,120.68,120.5734
2020-01-01,8,122.49,120.48173
2020-02-01,7,122.69,120.66393
2020-03-01,7,122.49,120.57567
2020-04-01,7,122.21,120.65438
2020-05-01,7,122.08,120.42005
2020-06-01,7,122.08,121.01445
2020-07-01,7,123.97,121.35456
2020-08-01,6,124.1,122.731476
2020-09-01,6,124.14,122.66399
2020-10-01,6,124.12,122.66481
2020-11-01,6,124.39,122.632385
2020-12-01,6,125.05,122.8275
2021-01-01,6,127.7,123.032394
2021-02-01,5,128.37,125.29919
2021-03-01,5,129.29,125.651634
2021-04-01,5,130.98,125.650826
2021-05-01,5,132.49,125.62313
2021-06-01,5,133.96,125.757126
2021-07-01,5,136.47,125.987015
2021-08-01,4,137.54,134.29341
2021-09-01,4,138.2,134.17607
2021-10-01,4,139.03,134.64957
2021-11-01,4,139.74,134.20982
2021-12-01,4,139.94,134.44518
2022-01-01,4,143.34,134.79594
2022-02-01,3,143.82,141.47061
2022-03-01,3,145.21,141.38206
2022-04-01,3,146.6,141.41725
2022-05-01,3,146.86,141.7032
2022-06-01,3,146.8,141.4481
2022-07-01,3,148.61,142.15329
2022-08-01,2,148.15,147.14368
2022-09-01,2,148.74,148.0452
2022-10-01,2,148.8,147.83557
2022-11-01,2,148.87,147.49037
2022-12-01,2,148.61,147.6765
2023-01-01,2,151.26,147.9157
2023-02-01,1,151.58,149.0394
2023-03-01,1,151.73,149.78395
2023-04-01,1,151.73,150.21432
2023-05-01,1,151.5,150.40701
2023-06-01,1,151.52,150.2285
2023-07-01,1,154.05,150.49377
2023-08-01,0,153.97,152.90352
2023-09-01,0,153.89,152.43663
2023-10-01,0,153.8,152.20845
2023-11-01,0,153.72,152.69562
2023-12-01,0,153.3,152.94489
2024-01-01,0,154.79,153.26143
